transaction_id,date,company_id,cost_center_id,account_id,business_unit_id,customer_id,product_id,transaction_type,amount,description
TXN-000068,2023-01-02,1,4000,4000,20,CUST-028,PROD-03,Revenue,921.58,Product revenue - Automation Controller AC-500
TXN-000124,2023-01-02,1,4000,4000,20,CUST-010,PROD-04,Revenue,333.43,Product revenue - Robotic Arm Interface RAI-3
TXN-000135,2023-01-02,1,4000,4000,20,CUST-004,PROD-04,Revenue,2091.63,Product revenue - Robotic Arm Interface RAI-3
TXN-000144,2023-01-02,1,4000,4000,20,CUST-012,PROD-05,Revenue,2911.93,Product revenue - Spare Parts Kit Standard
TXN-000150,2023-01-02,1,4000,4000,20,CUST-002,PROD-05,Revenue,4941.24,Product revenue - Spare Parts Kit Standard
TXN-000166,2023-01-02,1,4000,4000,20,CUST-026,PROD-06,Revenue,1700.28,Product revenue - Spare Parts Kit Premium
TXN-000182,2023-01-02,1,4000,4000,20,CUST-004,PROD-06,Revenue,975.96,Product revenue - Spare Parts Kit Premium
TXN-000191,2023-01-02,1,4000,4000,20,CUST-013,PROD-06,Revenue,577.45,Product revenue - Spare Parts Kit Premium
TXN-000197,2023-01-02,1,4000,4000,20,CUST-013,PROD-06,Revenue,423.2,Product revenue - Spare Parts Kit Premium
TXN-000207,2023-01-02,1,4000,4100,20,CUST-004,PROD-07,Revenue,14549.52,Service revenue - Installation & Commissioning
TXN-000243,2023-01-02,1,4000,4100,20,CUST-004,PROD-08,Revenue,2934.4,Service revenue - Maintenance Contract Service
TXN-000261,2023-01-02,1,1000,5000,10,CUST-NA,PROD-02,Expense,-16284.77,Raw material purchase - Production
TXN-000299,2023-01-02,1,1000,5000,10,CUST-NA,PROD-05,Expense,-5632.36,Raw material purchase - Production
TXN-000321,2023-01-02,1,1000,5100,10,CUST-NA,PROD-NA,Expense,-4480.04,External service invoice - Production
TXN-000336,2023-01-02,1,3000,5200,10,CUST-NA,PROD-NA,Expense,-6577.47,Freight & warehousing - Logistics
TXN-000386,2023-01-02,1,4000,5800,20,CUST-NA,PROD-NA,Expense,-1192.65,Travel expenses - Sales
TXN-000402,2023-01-02,1,7000,5800,40,CUST-NA,PROD-NA,Expense,-1198.82,Travel expenses - HR
TXN-000001,2023-01-03,1,4000,4000,20,CUST-004,PROD-01,Revenue,26245.3,Product revenue - CNC Mounting Frame X200
TXN-000059,2023-01-03,1,4000,4000,20,CUST-027,PROD-02,Revenue,12490.18,Product revenue - Precision Gear Assembly G12
TXN-000064,2023-01-03,1,4000,4000,20,CUST-026,PROD-03,Revenue,686.69,Product revenue - Automation Controller AC-500
TXN-000072,2023-01-03,1,4000,4000,20,CUST-013,PROD-03,Revenue,4478.05,Product revenue - Automation Controller AC-500
TXN-000091,2023-01-03,1,4000,4000,20,CUST-014,PROD-03,Revenue,2155.53,Product revenue - Automation Controller AC-500
TXN-000095,2023-01-03,1,4000,4000,20,CUST-015,PROD-03,Revenue,11545.25,Product revenue - Automation Controller AC-500
TXN-000096,2023-01-03,1,4000,4000,20,CUST-016,PROD-03,Revenue,3634.87,Product revenue - Automation Controller AC-500
TXN-000098,2023-01-03,1,4000,4000,20,CUST-020,PROD-03,Revenue,336.87,Product revenue - Automation Controller AC-500
TXN-000099,2023-01-03,1,4000,4000,20,CUST-019,PROD-03,Revenue,9302.57,Product revenue - Automation Controller AC-500
TXN-000117,2023-01-03,1,4000,4000,20,CUST-022,PROD-04,Revenue,1566.64,Product revenue - Robotic Arm Interface RAI-3
TXN-000134,2023-01-03,1,4000,4000,20,CUST-021,PROD-04,Revenue,2580.57,Product revenue - Robotic Arm Interface RAI-3
TXN-000180,2023-01-03,1,4000,4000,20,CUST-012,PROD-06,Revenue,96.53,Product revenue - Spare Parts Kit Premium
TXN-000199,2023-01-03,1,4000,4000,20,CUST-013,PROD-06,Revenue,1120.22,Product revenue - Spare Parts Kit Premium
TXN-000205,2023-01-03,1,4000,4100,20,CUST-013,PROD-07,Revenue,5344.75,Service revenue - Installation & Commissioning
TXN-000240,2023-01-03,1,4000,4100,20,CUST-014,PROD-08,Revenue,3728.84,Service revenue - Maintenance Contract Service
TXN-000250,2023-01-03,1,1000,5000,10,CUST-NA,PROD-01,Expense,-34973.32,Raw material purchase - Production
TXN-000265,2023-01-03,1,1000,5000,10,CUST-NA,PROD-02,Expense,-4404.65,Raw material purchase - Production
TXN-000278,2023-01-03,1,1000,5000,10,CUST-NA,PROD-03,Expense,-3215.63,Raw material purchase - Production
TXN-000324,2023-01-03,1,2000,5100,10,CUST-NA,PROD-NA,Expense,-4126.84,External service invoice - Procurement
TXN-000333,2023-01-03,1,3000,5200,10,CUST-NA,PROD-NA,Expense,-6133.72,Freight & warehousing - Logistics
TXN-000350,2023-01-03,1,1000,5500,10,CUST-NA,PROD-NA,Expense,-55987.5,Payroll run - Production
TXN-000357,2023-01-03,1,4000,5500,20,CUST-NA,PROD-NA,Expense,-6617.39,Payroll run - Sales
TXN-000379,2023-01-03,1,5000,5700,30,CUST-NA,PROD-NA,Expense,-1808.87,Marketing campaign spend - Marketing
TXN-000395,2023-01-03,1,5000,5800,30,CUST-NA,PROD-NA,Expense,-187.7,Travel expenses - Marketing
TXN-000407,2023-01-03,1,8000,5900,40,CUST-NA,PROD-NA,Expense,-9595.94,Insurance premium - Finance & Administration
TXN-000441,2023-01-03,1,3000,6200,10,CUST-NA,PROD-NA,Expense,-174.63,Other operating expense - Logistics
TXN-000442,2023-01-03,1,3000,6200,10,CUST-NA,PROD-NA,Expense,-234.17,Other operating expense - Logistics
TXN-000007,2023-01-04,1,4000,4000,20,CUST-004,PROD-01,Revenue,11660.01,Product revenue - CNC Mounting Frame X200
TXN-000008,2023-01-04,1,4000,4000,20,CUST-013,PROD-01,Revenue,6369.35,Product revenue - CNC Mounting Frame X200
TXN-000051,2023-01-04,1,4000,4000,20,CUST-016,PROD-02,Revenue,9263.75,Product revenue - Precision Gear Assembly G12
TXN-000063,2023-01-04,1,4000,4000,20,CUST-004,PROD-03,Revenue,3825.63,Product revenue - Automation Controller AC-500
TXN-000076,2023-01-04,1,4000,4000,20,CUST-025,PROD-03,Revenue,11608.34,Product revenue - Automation Controller AC-500
TXN-000090,2023-01-04,1,4000,4000,20,CUST-012,PROD-03,Revenue,2879.73,Product revenue - Automation Controller AC-500
TXN-000093,2023-01-04,1,4000,4000,20,CUST-014,PROD-03,Revenue,2160.43,Product revenue - Automation Controller AC-500
TXN-000110,2023-01-04,1,4000,4000,20,CUST-002,PROD-04,Revenue,2102.09,Product revenue - Robotic Arm Interface RAI-3
TXN-000119,2023-01-04,1,4000,4000,20,CUST-030,PROD-04,Revenue,1435.67,Product revenue - Robotic Arm Interface RAI-3
TXN-000127,2023-01-04,1,4000,4000,20,CUST-021,PROD-04,Revenue,3503.01,Product revenue - Robotic Arm Interface RAI-3
TXN-000157,2023-01-04,1,4000,4000,20,CUST-015,PROD-05,Revenue,6686.29,Product revenue - Spare Parts Kit Standard
TXN-000208,2023-01-04,1,4000,4100,20,CUST-013,PROD-07,Revenue,5421.48,Service revenue - Installation & Commissioning
TXN-000210,2023-01-04,1,4000,4100,20,CUST-013,PROD-07,Revenue,4103.43,Service revenue - Installation & Commissioning
TXN-000215,2023-01-04,1,4000,4100,20,CUST-013,PROD-07,Revenue,10051.78,Service revenue - Installation & Commissioning
TXN-000227,2023-01-04,1,4000,4100,20,CUST-022,PROD-08,Revenue,12756.05,Service revenue - Maintenance Contract Service
TXN-000251,2023-01-04,1,1000,5000,10,CUST-NA,PROD-01,Expense,-6118.26,Raw material purchase - Production
TXN-000264,2023-01-04,1,1000,5000,10,CUST-NA,PROD-02,Expense,-29799.31,Raw material purchase - Production
TXN-000272,2023-01-04,1,1000,5000,10,CUST-NA,PROD-03,Expense,-6235.75,Raw material purchase - Production
